かな,英語,ローマ字
くすぐったい,ticklish,kusuguttai
くすぐる,tickle,kusuguru
くずす,destroy,kuzusu
くすり,drug,kusuri
くすりゆび,third finger,kusuriyubi
くずれる,crumble,kuzureru
くせ,habit,kuse
ぐたいてき,concrete,gutaiteki
くだく,crush,kudaku
くたくた,exhausted,kutakuta
くだける,be crushed,kudakeru
くださる,give,kudasaru
くたびれる,get tired,kutabireru
くだもの,fruit,kudamono
くだらない,worthless,kudaranai
くだり,downhill,kudari
くだる,go down,kudaru
くち,mouth,kuchi
くちげんか,quarrel,kuchigenka
くちびる,lip,kuchibiru
くちべに,lipstick,kuchibeni
くつ,shoes,kutsu
くつう,pain,kutsū
くっきー,cookie,kukkii
くつした,socks,kutsushita
ぐっすり,soundly,gussuri
くっつく,stick,kuttsuku
くっつける,join,kuttsukeru
くに,country,kuni
くにぐに,nations,kuniguni
くばる,hand out,kubaru
くび,neck,kubi
くふう,contrivance,kufū
くぶん,division,kubun
くべつ,distinction,kubetsu
くまで,decorative rake (festival),kumade
くみ,school class,kumi
くみあい,union,kumiai
くみあわせ,combination,kumiawase
くみあわせる,assort,kumiawaseru
くみこむ,incorporate,kumikomu
くみたてる,build,kumitateru
くむ,pair up,kumu
くむ,collect,kumu
くも,cloud,kumo
くもり,cloudiness,kumori
くもる,become cloudy,kumoru
くやくしょ,ward office,kuyakusho
くやしい,vexing,kuyashii
くらい,dark,kurai
くらい,rank,kurai
ぐらうんど,sports field,guraundo
ぐらぐら,wobble,guragura
くらし,living,kurashi
くらしっく,classical music,kurashikku
くらす,class,kurasu
くらす,class,kurasu
くらす,live,kurasu
ぐらす,glass,gurasu
くらぶ,club,kurabu
ぐらふ,chart,gurafu
くらべる,compare,kuraberu
ぐらむ,gram,guramu
くりーにんぐ,cleaning,kuriiningu
くりーむ,cream,kuriimu
ぐりーん,green,guriin
くりかえす,repeat,kurikaesu
くりすます,Christmas,kurisumasu
くる,come,kuru
くるう,become insane,kurū
ぐるーぷ,group,gurūpu
くるくる,round and round,kurukuru
ぐるぐる,round and round,guruguru
くるしい,painful,kurushii
くるしみ,distress,kurushimi
くるしむ,suffer,kurushimu
くるしめる,torment,kurushimeru
くるま,car,kuruma
くるまいす,wheelchair,kurumaisu
くれ,dusk,kure
くれーぷ,crepe,kurēpu
くれる,be given,kureru
くれる,grow dark,kureru
くろ,black,kuro
くろい,black,kuroi
くろう,difficulty,kurō
くろじ,the black,kuroji
くわえる,add,kuwaeru
くわがた,stag beetle,kuwagata
くわしい,detailed,kuwashii
くわわる,join in,kuwawaru
くん,Japanese reading of kanji,kun
ぐん,county,gun
ぐん,army,gun
ぐんじ,military affairs,gunji
ぐんしゅう,crowd,gunshū
ぐんしゅう,the masses,gunshū
ぐんたい,army,guntai
くんよみ,Japanese pronunciation,kunyomi
くんれん,training,kunren
け,hair,ke
げ,low class,ge
けい,total,kei
けいえい,management,keiei
けいか,progression,keika
けいかい,vigilance,keikai
けいかく,plan,keikaku
けいかん,police officer,keikan
けいき,economic climate,keiki
けいけん,experience,keiken
けいこ,practice,keiko
けいご,honorific language,keigo
けいこう,tendency,keikō
けいこうとう,fluorescent lamp,keikōtō
けいこく,warning,keikoku
けいざい,economy,keizai
けいざいてき,economical,keizaiteki
けいさつ,police,keisatsu
けいさつかん,police officer,keisatsukan
けいさん,calculation,keisan
けいじ,detective,keiji
けいしき,form,keishiki
けいしきてき,formal,keishikiteki
けいじばん,notice board,keijiban
げいじゅつ,art,geijutsu
けいせい,formation,keisei
けいぞく,continuation,keizoku
けいそつ,rash,keisotsu
けいと,woolen yarn,keito
けいとう,system,keitō
けいひ,expense,keihi
けいべつ,contempt,keibetsu
けいむしょ,prison,keimusho
けいやく,contract,keiyaku
けいゆ,via,keiyu
けいようし,adjective,keiyōshi
けいれき,personal history,keireki
けいれつ,affiliation,keiretsu
けーき,cake,kēki
けーす,case,kēsu
げーむ,game,gēmu
けが,injury,kega
げか,surgery,geka
けがわ,fur,kegawa
げき,drama,geki
げきじょう,theater,gekijō
けさ,this morning,kesa
けしき,scenery,keshiki
けしごむ,eraser,keshigomu
げしゃ,get off,gesha
げしゅく,lodging,geshuku
げじゅん,end of the month,gejun
けしょう,make up,keshō
けしょうすい,toner,keshōsui
けす,switch off,kesu
げすい,sewerage,gesui
けずる,grind down,kezuru
げたばこ,shoe cabinet,getabako
けち,stingy,kechi
けつい,resolution,ketsui
けつえき,blood,ketsueki
けっか,result,kekka
けっかく,tuberculosis,kekkaku
けっかん,blood vessel,kekkan
げっかん,published monthly,gekkan
げっきゅう,monthly salary,gekkyū
けっきょく,after all,kekkyoku
けっこう,quite,kekkō
けっこう,all right,kekkō
けつごう,combination,ketsugō
けっこん,marriage,kekkon
けっして,never,kesshite
げっしゃ,monthly fee,gessha
けっしょう,final,kesshō
けっしょう,crystallization,kesshō
けっしん,determination,kesshin
けっせい,organization,kessei
けっせき,absence,kesseki
けってい,decision,kettei
けってん,weak point,ketten
げつまつ,end of the month,getsumatsu
げつようび,Monday,getsuyōbi
けつろん,conclusion,ketsuron
げひん,vulgar,gehin
けむり,smoke,kemuri
けもの,beast,kemono
げらげら,out loud,geragera
げり,diarrhea,geri
げりらごうう,guerrilla rainstorm,geriragōu
ける,kick,keru
けわしい,steep,kewashii
けん,voucher,ken
けん,prefecture,ken
けんい,authority,ken'i
げんいん,cause,gen'in
けんか,fight,kenka
けんかい,opinion,kenkai
げんかい,boundary,genkai
けんがく,observation tour,kengaku
げんかん,entrance,genkan
げんき,healthy,genki
げんき,vigor,genki
けんきゅう,research,kenkyū
げんきん,cash,genkin
げんご,language,gengo
けんこう,healthy,kenkō
けんこう,health,kenkō
げんこうようし,manuscript paper,genkōyōshi
けんさ,inspection,kensa
げんざい,the present,genzai
げんじつ,actuality,genjitsu
げんじゅう,strict,genjū
げんじゅうしょ,present address,genjūsho
げんしょう,decrease,genshō
げんしょう,phenomenon,genshō
げんじょう,present condition,genjō
げんしりょく,atomic energy,genshiryoku
けんせつ,construction,kensetsu
けんぜん,healthy,kenzen
げんぞう,developing a film,genzō
げんそく,principle,gensoku
けんそん,humility,kenson
げんだい,present age,gendai
げんち,actual site,genchi
けんちく,construction,kenchiku
けんちょう,prefectural office,kenchō
げんど,limit,gendo
けんとう,consideration,kentō
けんとう,estimate,kentō
けんどう,kendo,kendō
げんば,actual spot,genba
けんぶつ,sightseeing,kenbutsu
けんぶつにん,spectator,kenbutsunin
けんぽう,constitution,kenpō
けんり,right,kenri
げんり,principle,genri
けんりつ,prefectural,kenritsu
げんりょう,raw material,genryō
けんりょく,power,kenryoku
げんろん,speech,genron
こ,child,ko
ご,five,go
こい,thick,koi
こい,love,koi
こいする,love,koisuru
こいびと,lover,koibito
こう,like this,kō
こうい,favor,kōi
こうい,act,kōi
ごうい,mutual agreement,gōi
ごういん,overbearing,gōin
こううん,good fortune,kōun
こうえん,park,kōen
こうえん,public performance,kōen
こうえん,lecture,kōen
こうおん,high temperature,kōon
こうか,effect,kōka
こうか,high-priced,kōka
こうかい,opening (to the public),kōkai
こうかい,regret,kōkai
こうがい,environmental pollution,kōgai
こうがい,suburbs,kōgai
こうがく,engineering,kōgaku
ごうかく,passing an examination,gōkaku
こうがくぶ,department of engineering,kōgakubu
こうかん,exchange,kōkan
こうき,latter period,kōki
こうぎ,lecture,kōgi
こうぎ,protest,kōgi
こうきあつ,high pressure,kōkiatsu
こうきしん,curiosity,kōkishin
こうきゅう,high rank,kōkyū
こうきょう,public society,kōkyō
こうぎょう,industry,kōgyō
こうくう,aviation,kōkū
こうくうき,aircraft,kōkūki
こうくうけん,airline ticket,kōkūken
こうくうびん,airmail,kōkūbin
ごうけい,sum total,gōkei
こうげき,attack,kōgeki
こうげん,plateau,kōgen
こうご,by turns,kōgo
こうこう,high school,kōkō
こうこうせい,high school student,kōkōsei
こうこく,public notice,kōkoku
こうさい,association,kōsai
こうさてん,crossing,kōsaten
こうし,speaker,kōshi
こうじ,construction,kōji
こうしき,formal,kōshiki
こうしゃ,the latter,kōsha
こうしゃ,school building,kōsha
こうしゅう,the public,kōshū
こうしょう,negotiation,kōshō
こうじょう,factory,kōjō
こうじょう,improvement,kōjō
こうしん,march,kōshin
こうすい,perfume,kōsui
こうずい,flood,kōzui
こうせい,organization,kōsei
ごうせい,composition,gōsei
こうそう,conception,kōsō
こうそう,high altitude,kōsō
こうぞう,construction,kōzō
こうそく,high speed,kōsoku
こうそくどうろ,freeway,kōsokudōro
こうたい,alternation,kōtai
こうちゃ,black tea,kōcha
こうちょう,principal,kōchō
こうちょう,favorable condition,kōchō
こうつう,traffic,kōtsū
こうつうじこ,traffic accident,kōtsūjiko
こうつうひ,traveling expense,kōtsūhi
こうてい,distance,kōtei
こうてい,schoolyard,kōtei
こうてい,affirmation,kōtei
こうど,high degree,kōdo
こうとう,higher,kōtō
こうどう,action,kōdō
こうどう,lecture hall,kōdō
ごうとう,robbery,gōtō
ごうどう,combination,gōdō
こうとうがっこう,senior high school,kōtōgakkō
こうにゅう,purchase,kōnyū
こうはい,one's junior,kōhai
こうはん,latter half,kōhan
こうばん,police box,kōban
こうふく,happiness,kōfuku
こうふん,excitement,kōfun
こうへい,impartiality,kōhei
こうほ,candidacy,kōho
こうほう,back,kōhō
こうむいん,public officer,kōmuin
こうもく,item,kōmoku
こうよう,autumn leaves,kōyō
こうらく,excursion,kōraku
こうりつ,efficiency,kōritsu
こうりつ,public,kōritsu
ごうりてき,rational,gōriteki
こうりてん,retail store,kōriten
こうりゅう,interaction,kōryū
こうりょ,consideration,kōryo
こうりょく,effect,kōryoku
こうれい,advanced age,kōrei
こえ,voice,koe
こえる,go over,koeru
ごえん,5 yen,go en
こーす,course,kōsu
こーち,coach,kōchi
こーと,court,kōto
こーと,coat,kōto
こーど,cord,kōdo
こーなー,corner,kōnaa
こーひー,coffee,kōhii
こーら,cola,kōra
こおり,ice,kōri
こおる,freeze,kōru
ごーるでんうぃーく,golden week,gōruden'uiiku
こおろぎ,cricket,kōrogi
ごかい,misunderstanding,gokai
ごがく,language study,gogaku
こがた,small-sized,kogata
こがらし,cold wintry wind,kogarashi
ごきぶり,cockroach,gokiburi
こきゅう,breathing,kokyū
こきょう,hometown,kokyō
こぐ,row,kogu
こくがい,abroad,kokugai
こくご,national language,kokugo
こくさい,international,kokusai
こくさいか,internationalization,kokusaika
こくさいてき,international,kokusaiteki
こくさん,domestically produced,kokusan
こくせき,nationality,kokuseki
こくてつ,Japan National Railways,kokutetsu
こくど,country,kokudo
こくどう,national highway,kokudō
こくない,domestic,kokunai
こくばん,blackboard,kokuban
こくひ,national expenditure,kokuhi
こくみん,the people,kokumin
こくめい,country name,kokumei
こくりつ,national,kokuritsu
こくれん,United Nations,kokuren
ごくんと,in one gulp,gokunto
こげる,scorch,kogeru
ここ,here,koko
ここ,individually,koko
ごご,afternoon,gogo
ここのか,nine days,kokonoka
ここのつ,nine (things),kokonotsu
こころ,heart,kokoro
こころがける,bear in mind,kokorogakeru
こころざす,have an ambition for,kokorozasu
こころづよい,reassuring,kokorozuyoi
こころぼそい,helpless,kokorobosoi
こころみる,try,kokoromiru
こころよい,pleasant,kokoroyoi
こさめ,drizzle,kosame
こし,hip,koshi
こしかけ,stool,koshikake
こしかける,sit down,koshikakeru
こじき,beggar,kojiki
ごじゅうえん,50yen,gojū en
ごじゅうおん,Japanese syllabary,gojūon
ごしゅじん,(your) husband,goshujin
こしょう,malfunction,koshō
こしょう,pepper,koshō
こじん,individual,kojin
こす,go over,kosu
こすもす,cosmos,kosumosu
こする,rub,kosuru
こせい,individuality,kosei
こせき,family register,koseki
こぜに,loose change,kozeni
ごぜん,morning,gozen
ごせんえん,"5,000 yen",gosen'en
ごぞんじ,know,gozonji
こたい,solid,kotai
こだい,ancient times,kodai
こたえ,answer,kotae
こたえる,answer,kotaeru
こたつ,kotatsu,kotatsu
ごちそう,feast,gochisō
ごちそうさま,thank you for the meal,gochisōsama
ごちそうする,treat,gochisōsuru
こちら,here,kochira
こっか,state,kokka
こっかい,National Diet,kokkai
こづかい,pocket money,kozukai
こっき,national flag,kokki
こっきょう,national border,kokkyō
こっく,cook,kokku
こっこう,diplomatic relations,kokkō
こっせつ,fracture,kossetsu
こっそり,stealthily,kossori
こっち,here,kotchi
こづつみ,parcel,kozutsumi
こっぷ,cup,koppu
こてい,fixing,kotei
こてん,classics,koten
こと,thing,koto
ことがら,matter,kotogara
こどく,solitary,kodoku
ことし,this year,kotoshi
ことづける,leave a message,kotozukeru
ことなる,differ,kotonaru
ことに,especially,kotoni
ことば,word,kotoba
ことばづかい,wording,kotobazukai
こども,child,kodomo
ことり,small bird,kotori
ことわざ,proverb,kotowaza
ことわる,refuse,kotowaru
こな,powder,kona
このあいだ,the other day,konoaida
このごろ,now,konogoro
このたび,on this occasion,konotabi
このは,tree leaves,konoha
このみ,taste,konomi
このむ,like,konomu
ごはん,cooked rice,gohan
こぴー,copy,kopii
ごぶさた,be out of touch,gobusata
ごぼう,burdock,gobō
こぼす,spill,kobosu
こぼれる,spill,koboreru
こまーしゃる,commercial,komaasharu
こまか,minute,komaka
こまかい,minute,komakai
ごまかす,deceive,gomakasu
こまる,be at a loss,komaru
ごみ,rubbish,gomi
こむ,be crowded,komu
ごむ,elastic,gomu
こむぎ,wheat,komugi
こむぎいろ,tan,komugiiro
こむぎこ,flour,komugiko
こめ,rice (grain),kome
こめる,put in,komeru
ごめん,sorry,gomen
こゆう,peculiar to,koyū
こゆび,little finger,koyubi
こよう,employment,koyō
こよみ,calendar,koyomi
ごらく,amusement,goraku
ごるふ,golf,gorufu
これ,this,kore
これから,from now on,korekara
これまで,until now,koremade
これら,these,korera
ころ,time,koro
ころがす,roll,korogasu
ころがる,roll over,korogaru
ごろごろ,rumble,gorogoro
ころす,kill,korosu
ころぶ,tumble down,korobu
こわい,fearful,kowai
こわがる,be afraid of,kowagaru
こわす,break,kowasu
こわれる,break,kowareru
こん,dark blue,kon
こんかい,this time,konkai
こんきょ,grounds,konkyo
こんくーる,contest,konkūru
こんくりーと,concrete,konkuriito
こんげつ,this month,kongetsu
こんご,after this,kongo
こんさーと,concert,konsaato
こんざつ,confusion,konzatsu
こんしゅう,this week,konshū
こんせんと,outlet,konsento
こんてすと,contest,kontesuto
こんど,this time,kondo
こんなに,this,konnani
こんなん,difficulty,konnan
こんにち,today,konnichi
こんにちは,hello,konnichiwa
こんぱす,compass,konpasu
こんばん,this evening,konban
こんばんは,good evening,konbanwa
こんびに,convenience store,konbini
こんぴゅーたー,computer,konpyūtaa
こんぽん,basis,konpon
こんや,tonight,konya
こんやく,engagement,konyaku
こんらん,disorder,konran
さ,difference,sa
さーくる,circle,saakuru
ざあざあ,heavily,zaazaa
さーびす,service,saabisu
さーびすえりあ,expressway service area,sābisu eria
さい,occasion,sai
さいあく,the worst,saiaku
さいかい,reopening,saikai
さいかい,reunion,saikai
さいがい,calamity,saigai
ざいがく,attendance at school,zaigaku
さいきょう,strongest,saikyō
さいきん,late,saikin
さいご,last,saigo
さいこう,maximum,saikō
さいさん,profit,saisan
ざいさん,fortune,zaisan
さいじつ,national holiday,saijitsu
さいしゅう,last,saishū
さいしょ,first,saisho
さいしょう,the smallest,saishō
さいじょう,best,saijō
さいせい,playback,saisei
ざいせい,public finance,zaisei
さいせんたん,cutting edge,saisentan
さいせんばこ,offertory box,saisenbako
さいそく,demand,saisoku
さいだい,biggest,saidai
さいちゅう,in the middle of,saichū
さいてい,lowest,saitei
さいてき,optimum,saiteki
さいてん,marking,saiten
さいなん,calamity,sainan
さいのう,talent,sainō
さいばい,cultivation,saibai
さいばん,trial,saiban
さいばんしょ,courthouse,saibansho
さいふ,purse,saifu
さいまつ,year end,saimatsu
ざいもく,timber,zaimoku
さいよう,employment,saiyō
ざいりょう,material,zairyō
さいわい,happiness,saiwai
さいん,signature,sain
さか,slope,saka
さかい,boundary,sakai
さかえる,flourish,sakaeru
さかさ,reverse,sakasa
さかさま,upside-down,sakasama
さがす,search for,sagasu
さがす,look for,sagasu
さかな,fish,sakana
さかや,liquor store,sakaya
さからう,disobey,sakarau
さがる,come down,sagaru
さかん,prosperous,sakan
さき,ahead,saki
さきに,before,sakini
さきほど,some time ago,sakihodo
さぎょう,work,sagyō
さく,bloom,saku
さく,scheme,saku
さくいん,index,sakuin
さくげん,curtailment,sakugen
さくじつ,yesterday,sakujitsu
さくしゃ,author,sakusha
さくじょ,deletion,sakujo
さくせい,manufacture,sakusei
さくせん,tactic,sakusen
さくねん,last year,sakunen
さくばん,last night,sakuban
さくひん,work of art,sakuhin
さくぶん,composition,sakubun
さくもつ,crop,sakumotsu
さくや,last night,sakuya
さくら,cherry tree,sakura
さくらんぼ,cherry,sakuranbo
さけ,alcoholic drink,sake
さけび,shout,sakebi
さけぶ,shout,sakebu
さける,avoid,sakeru
さける,split,sakeru
さげる,lower,sageru
ささえる,support,sasaeru
ささやく,whisper,sasayaku
ささる,stick,sasaru
さしあげる,respectfully give,sashiageru
ざしき,drawing room,zashiki
さしだす,submit,sashidasu
さしみ,sashimi,sashimi
さす,stab,sasu
さす,point to,sasu
さす,pour,sasu
さす,shine on,sasu
さす,open (an umbrella),sasu
ざせき,seat,zaseki
さぞ,no doubt,sazo
さそう,invite,sasō
さだめる,fix,sadameru
さつ,bill,satsu
さつえい,photographing,satsuei
ざつおん,noise,zatsuon
さっか,writer,sakka
さっかー,soccer,sakkaa
さっき,some time ago,sakki
さっきょく,composition,sakkyoku
ざっし,magazine,zasshi
さつじん,murder,satsujin
さっそく,immediately,sassoku
ざつだん,chat,zatsudan
さっと,quickly,satto
さっぱり,completely,sappari
さとう,sugar,satō
さばく,desert,sabaku
さびしい,lonely,sabishii
さびる,rust,sabiru
ざぶとん,cushion,zabuton
さべつ,discrimination,sabetsu
さぼる,blow off,saboru
さまざま,various,samazama
さます,awaken,samasu
さます,cool,samasu
さむい,cold (temperature of the air),samui
さむけ,chill,samuke
さむさ,coldness,samusa
さめる,awake,sameru
さめる,cool off,sameru
さゆう,right and left,sayū
さよう,action,sayō
さようなら,goodbye,sayōnara
さら,plate,sara
さらいげつ,the month after next,saraigetsu
さらいしゅう,the week after next,saraishū
さらいねん,the year after next,sarainen
ざらざら,rough,zarazara
さらだ,salad,sarada
さらに,furthermore,sarani
さらりーまん,office worker,sarariiman
さる,go away,saru
さる,monkey,saru
さわがしい,noisy,sawagashii
さわぎ,clamor,sawagi
さわぐ,make a racket,sawagu
さわやか,refreshing,sawayaka
さわる,touch,sawaru
さん,three,san
さんか,participation,sanka
さんかく,triangle,sankaku
さんかくけい,triangle,sankakukei
さんぎいん,House of Councilors,sangiin
さんぎょう,industry,sangyō
ざんぎょう,overtime,zangyō
さんぐらす,sunglasses,sangurasu
さんこう,reference,sankō
さんこうしょ,reference book,sankōsho
ざんしょ,lingering summer heat,zansho
さんせい,approval,sansei
さんそ,oxygen,sanso
さんち,production center,sanchi
さんどいっち,sandwich,sandoitchi
ざんねん,regretful,zannen
さんふじんか,obstetrics and gynecology,sanfujinka
さんぽ,walk,sanpo
さんみゃく,mountain range,sanmyaku
さんりゅう,third-rate,sanryū
し,four,shi
し,Mr.,shi
し,city,shi
し,death,shi
し,poetry,shi
じ,character,ji
しあい,match,shiai
しあげ,completion,shiage
しあげる,finish,shiageru
しあさって,three days from today,shiasatte
しあわせ,happiness,shiawase
しーずん,season,shiizun
しーつ,sheet,shiitsu
じーぱん,jeans,jiipan
じーんず,jeans,jiinzu
じぇいあーる,JR,jieiaaru
じえいたい,Self Defense Forces,jieitai
じぇっとき,jet airplane,jiettoki
しえん,support,shien
しお,salt,shio
しおからい,salty,shiokarai
しか,dentistry,shika
しかい,master of ceremonies,shikai
しがい,the streets,shigai
しがい,city outskirts,shigai
じかい,next time,jikai
しかく,square,shikaku
しかく,qualifications,shikaku
しかくい,square,shikakui
しかた,way,shikata
しかる,scold,shikaru
じかん,time,jikan
じかんわり,time table,jikanwari
しき,the four seasons,shiki
しき,ceremony,shiki
しき,command,shiki
じき,time,jiki
じき,opportunity,jiki
しききん,deposit,shikikin
しきゅう,urgent,shikyū
じきゅう,hourly wage,jikyū
じぎょう,business,jigyō
しきりに,frequently,shikirini
しきん,funds,shikin
しく,lay,shiku
じく,axis,jiku
しくみ,construction,shikumi
しげき,stimulus,shigeki
しけん,test,shiken
しげん,resources,shigen
じけん,affair,jiken
じこ,accident,jiko
じこ,oneself,jiko
じこく,one's own country,jikoku
じこく,time,jikoku
じごく,hell,jigoku
しごと,work,shigoto
じさ,time difference,jisa
じさつ,suicide,jisatsu
しさん,property,shisan
しじ,support,shiji
じじつ,fact,jijitsu
ししゃ,dead person,shisha
ししゃ,branch office,shisha
じしゅ,independence,jishu
しじゅう,from beginning to end,shijū
じしゅう,self-study,jishū
ししゅつ,expenditure,shishutsu
じしゅてき,autonomous,jishuteki
じしょ,dictionary,jisho
じじょ,second daughter,jijo
しじょう,market,shijō
じじょう,circumstances,jijō
しじん,poet,shijin
じしん,earthquake,jishin
じしん,self-confidence,jishin
じしん,self,jishin
じすい,cooking food for oneself,jisui
しずか,quiet,shizuka
しすてむ,system,shisutemu
しずまる,become quiet,shizumaru
しずむ,sink,shizumu
しずめる,sink,shizumeru
しせい,posture,shisei
しせつ,facilities,shisetsu
しぜん,nature,shizen
しぜん,natural,shizen
しぜんかがく,natural science,shizenkagaku
しぜんに,naturally,shizenni
しそう,thought,shisō
じそく,speed per hour,jisoku
しそん,descendant,shison
した,under,shita
した,tongue,shita
したい,corpse,shitai
しだい,as soon as,shidai
じたい,situation,jitai
じだい,age,jidai
しだいに,gradually,shidaini
したがう,follow,shitagau
したがき,draft,shitagaki
したぎ,underwear,shitagi
したく,arrangement,shitaku
じたく,one's house,jitaku
したしい,intimate,shitashii
したしみ,intimacy,shitashimi
したしむ,get close to,shitashimu
したしらべ,preliminary investigation,shitashirabe
したまち,old part of town,shitamachi
しち,seven,shichi
しちょう,mayor,shichō
しつ,quality,shitsu
しっかり,mature,shikkari
じっかん,true sense,jikkan
しつぎょう,unemployment,shitsugyō
しっけ,moisture,shikke
じっけん,experiment,jikken
じつげん,implementation,jitsugen
しつこい,persistent,shitsukoi
じっこう,practice,jikkō
じっさい,truth,jissai
じっし,enforcement,jisshi
じっしゅう,practice,jisshū
じっせき,achievement,jisseki
じったい,the actual situation,jittai
しつど,humidity,shitsudo
じっと,without moving,jitto
しつない,indoors,shitsunai
じつに,truly,jitsuni
じつは,actually,jitsuha
しっぱい,failure,shippai
じつぶつ,real thing,jitsubutsu
しつぼう,disappointment,shitsubō
しつもん,question,shitsumon
じつよう,practical use,jitsuyō
じつようてき,practical,jitsuyōteki
じつりょく,real ability,jitsuryoku
しつれい,impoliteness,shitsurei
じつれい,example,jitsurei
しつれん,broken heart,shitsuren
してい,designation,shitei
してき,identification,shiteki
してつ,private railway,shitetsu
してん,branch,shiten
してん,viewpoint,shiten
じてん,dictionary,jiten
じてんしゃ,bicycle,jitensha
しどう,guide,shidō
じどう,automatic operation,jidō
じどう,child,jidō
じどうしゃ,automobile,jidōsha
しな,article,shina
しない,in the city,shinai
しなぎれ,run out,shinagire
しなもの,article,shinamono
じなん,second son,jinan
じにん,resignation,jinin
しぬ,die,shinu
しはい,control,shihai
しばしば,often,shibashiba
しはつ,first departure,shihatsu
しばふ,lawn,shibafu
しはらい,payment,shiharai
しはらう,pay,shiharau
しばらく,awhile,shibaraku
しばる,bind,shibaru
しひ,private expense,shihi
じびか,otorhinology,jibika
じびき,dictionary,jibiki
しびれる,become numb,shibireru
しぶい,bitter,shibui
じぶん,self,jibun
しほう,all directions,shihō
しぼう,death,shibō
しぼう,fat,shibō
しぼる,wring out,shiboru
しほんしゅぎ,capitalism,shihonshugi
しま,island,shima
しまい,sisters,shimai
しまう,put away,shimau
しまる,be shut,shimaru
しまる,tighten,shimaru
じまん,showing off,jiman
じみ,plain,jimi
しみん,citizens,shimin
じむ,office duty,jimu
じむいん,clerk,jimuin
じむしつ,office,jimushitsu
じむしょ,office,jimusho
しめい,name,shimei
しめきり,deadline,shimekiri
しめきる,close,shimekiru
じめじめ,feel damp,jimejime
しめす,show,shimesu
しめっぽい,damp,shimeppoi
しめる,shut,shimeru
しめる,tighten,shimeru
しめる,occupy,shimeru
しめる,get damp,shimeru
じめん,surface,jimen
しも,frost,shimo
じゃーなりすと,journalist,jaanarisuto
じゃーなりずむ,journalism,jaanarizumu
しゃーぷぺんしる,mechanical pencil,shaapupenshiru
しゃーぺん,mechanical pencil,shaapen
しゃいん,staff member,shain
しゃかい,society,shakai
しゃかいかがく,social sciences,shakaikagaku
しゃかいじん,member of society,shakaijin
じゃがいも,potato,jagaimo
しゃがむ,squat down,shagamu
しやくしょ,municipal office,shiyakusho
じゃくてん,weak point,jakuten
しゃこ,car shed,shako
しゃしょう,train conductor,shashō
しゃしん,photograph,shashin
じゃず,jazz,jazu
しゃせつ,editorial,shasetsu
しゃちょう,president (of a company),shachō
しゃつ,shirt,shatsu
しゃっきん,borrowing money,shakkin
しゃったー,shutter,shattaa
しゃどう,road,shadō
しゃない,inside a vehicle,shanai
しゃぶしゃぶ,shabu-shabu,shabushabu
じゃぶじゃぶ,vigorously,jabujabu
しゃべる,chat,shaberu
じゃま,disturbing,jama
じゃま,hindrance,jama
じゃむ,jam,jamu
しゃりん,wheel,sharin
しゃわー,shower,shawaa
じゃんじゃん,many times,janjan
しゃんぱん,champagne,shanpan
じゃんぷ,jump,janpu
しゃんぷー,shampoo,shanpū
しゅう,week,shū
しゅう,state,shū
じゅう,ten,jū
じゆう,freedom,jiyū
しゅうい,circumference,shūi
じゅうえん,10 yen,jū en
しゅうかく,harvest,shūkaku
しゅうかん,custom,shūkan
しゅうかん,published weekly,shūkan
しゅうかんし,weekly magazine,shūkanshi
しゅうぎいん,House of Representatives,shūgiin
しゅうきゅう,weekend,shūkyū
しゅうきょう,religion,shūkyō
じゅうぎょういん,employee,jūgyōin
しゅーくりーむ,cream puff,shūkuriimu
しゅうごう,gathering,shūgō
しゅうし,earnings and expenses,shūshi
じゅうし,importance,jūshi
しゅうしゅう,collection,shūshū
じゅうしょ,one's dwelling,jūsho
しゅうしょく,finding employment,shūshoku
じゅうじろ,crossroads,jūjiro
しゅーず,shoes,shūzu
じゅーす,juice,jūsu
しゅうせい,correction,shūsei
じゅうたい,delay,jūtai
じゅうだい,important,jūdai
じゅうたく,housing,jūtaku
じゅうたくち,residential district,jūtakuchi
しゅうだん,group,shūdan
しゅうちゅう,concentration,shūchū
しゅうてん,last stop,shūten
しゅうでん,last train,shūden
じゅうてん,important point,jūten
じゅうどう,judo,jūdō
じゅうなん,pliable,jūnan
しゅうにゅう,income,shūnyū
しゅうにん,inauguration,shūnin
しゅうぶん,autumnal equinox,shūbun
じゅうぶん,full,jūbun
しゅうへん,environs,shūhen
しゅうまつ,weekend,shūmatsu
じゅうみん,residents,jūmin
じゅうやく,executive,jūyaku
じゅうよう,important,jūyō
じゅうらい,former,jūrai
しゅうり,repair,shūri
しゅうりょう,end,shūryō
しゅうりょう,completion,shūryō
じゅうりょう,weight,jūryō
しゅかん,subjectivity,shukan
しゅかんてき,subjective,shukanteki
しゅぎ,principle,shugi
じゅぎょう,class,jugyō
しゅくじつ,holiday,shukujitsu
しゅくしょう,reduction,shukushō
しゅくだい,homework,shukudai
じゅけん,take an examination,juken
しゅさい,sponsorship,shusai
しゅざい,collection of data,shuzai
しゅじゅつ,surgical operation,shujutsu
しゅしょう,prime minister,shushō
しゅしょく,staple food,shushoku
しゅじん,master,shujin
しゅたい,agent,shutai
しゅだい,subject,shudai
しゅだん,means,shudan
しゅちょう,insistence,shuchō
しゅつえん,appearance on stage,shutsuen
しゅっか,shipping,shukka
しゅっきん,to go to work,shukkin
